GeneSymbol,log2FoldChange,padj,DE
9330154J02Rik,0.5927352447266248,0.19736198369090763,NO
9330159M07Rik,0.21057637342327773,0.8264622426972497,NO
9330160F10Rik,-0.003703045255493675,0.9953331658476423,NO
9330162012Rik,-0.18617970075825332,0.674739446528923,NO
9330162G02Rik,0.3883169336590493,0.39365497084714257,NO
9430015G10Rik,-0.08735862996363053,0.5486491664500988,NO
9430038I01Rik,0.11833765118075772,0.6876565807331533,NO
9430060I03Rik,0.03576028891613276,0.9639726802031556,NO
9430091E24Rik,-0.6807593995460638,0.403342997933008,NO
9530034E10Rik,0.19255382476516567,0.626481444053821,NO
9530052E02Rik,0.4575206543705911,0.43665733988892486,NO
9530053A07Rik,0.12009912027855604,0.8409744035882633,NO
9530068E07Rik,0.1240017753200378,0.03139953395730783,UP
9530080O11Rik,-0.04827470670210283,0.9651711385233037,NO
9530082P21Rik,-0.45273491544235855,0.09384522734233017,NO
9830144P21Rik,0.14647507881766683,0.8611980859212337,NO
9930012K11Rik,0.13072840560401783,0.8566599687709952,NO
9930014A18Rik,0.08882472641018636,0.7837313784856624,NO
9930017N22Rik,-0.5397056101426205,0.15993947031315772,NO
9930021J03Rik,-0.09567057123626407,0.38364269711570326,NO
9930038B18Rik,0.2560706805714971,0.6560826203812579,NO
9930104L06Rik,-0.24969634441572944,0.11181956579982888,NO
9930111J21Rik1,0.03558012350160496,0.9559759803809448,NO
9930111J21Rik2,-0.01873424968009302,0.9706678107484562,NO
A030001D20Rik,-0.18442751604068808,0.7471439405841558,NO
A130010J15Rik,-0.14373529658729892,0.33190438594372906,NO
A130014A01Rik,-0.4661283177138369,0.43570840333758265,NO
